date,ticker,open,high,low,close,volume
1980-10-14,KOSPI,110.95,110.95,110.95,110.95,0
1980-10-15,KOSPI,110.51,110.51,110.51,110.51,0
1980-10-16,KOSPI,111.71,111.71,111.71,111.71,0
1980-10-17,KOSPI,110.43,110.43,110.43,110.43,0
1980-10-18,KOSPI,110.26,110.26,110.26,110.26,0
1980-10-20,KOSPI,109.07,109.07,109.07,109.07,0
1980-10-21,KOSPI,109.38,109.38,109.38,109.38,0
1980-10-23,KOSPI,109.32,109.32,109.32,109.32,0
1980-10-24,KOSPI,109.42,109.42,109.42,109.42,0
1980-10-25,KOSPI,108.89,108.89,108.89,108.89,0
1980-10-27,KOSPI,107.2,107.2,107.2,107.2,0
1980-10-28,KOSPI,106.66,106.66,106.66,106.66,0
1980-10-29,KOSPI,106.6,106.6,106.6,106.6,0
1980-10-30,KOSPI,105.88,105.88,105.88,105.88,0
1980-10-31,KOSPI,105.71,105.71,105.71,105.71,0
1980-11-01,KOSPI,105.48,105.48,105.48,105.48,0
1980-11-03,KOSPI,105.73,105.73,105.73,105.73,0
1980-11-04,KOSPI,105.09,105.09,105.09,105.09,0
1980-11-05,KOSPI,103.88,103.88,103.88,103.88,0
1980-11-06,KOSPI,102.84,102.84,102.84,102.84,0
1980-11-07,KOSPI,104.89,104.89,104.89,104.89,0
1980-11-08,KOSPI,107.15,107.15,107.15,107.15,0
1980-11-10,KOSPI,107.5,107.5,107.5,107.5,0
1980-11-11,KOSPI,106.0,106.0,106.0,106.0,0
1980-11-12,KOSPI,104.05,104.05,104.05,104.05,0
1980-11-13,KOSPI,103.43,103.43,103.43,103.43,0
1980-11-14,KOSPI,104.9,104.9,104.9,104.9,0
1980-11-15,KOSPI,104.6,104.6,104.6,104.6,0
1980-11-17,KOSPI,104.01,104.01,104.01,104.01,0
1980-11-18,KOSPI,103.97,103.97,103.97,103.97,0
1980-11-19,KOSPI,104.02,104.02,104.02,104.02,0
1980-11-20,KOSPI,104.67,104.67,104.67,104.67,0
1980-11-21,KOSPI,105.08,105.08,105.08,105.08,0
1980-11-22,KOSPI,105.17,105.17,105.17,105.17,0
1980-11-24,KOSPI,105.51,105.51,105.51,105.51,0
1980-11-25,KOSPI,105.98,105.98,105.98,105.98,0
1980-11-26,KOSPI,107.28,107.28,107.28,107.28,0
1980-11-27,KOSPI,107.15,107.15,107.15,107.15,0
1980-11-28,KOSPI,107.02,107.02,107.02,107.02,0
1980-11-29,KOSPI,106.93,106.93,106.93,106.93,0
1980-12-01,KOSPI,106.74,106.74,106.74,106.74,0
1980-12-02,KOSPI,106.63,106.63,106.63,106.63,0
1980-12-03,KOSPI,105.96,105.96,105.96,105.96,0
1980-12-04,KOSPI,105.72,105.72,105.72,105.72,0
1980-12-05,KOSPI,106.07,106.07,106.07,106.07,0
1980-12-06,KOSPI,106.6,106.6,106.6,106.6,0
1980-12-08,KOSPI,106.3,106.3,106.3,106.3,0
1980-12-09,KOSPI,105.98,105.98,105.98,105.98,0
1980-12-10,KOSPI,106.17,106.17,106.17,106.17,0
1980-12-11,KOSPI,105.92,105.92,105.92,105.92,0
1980-12-12,KOSPI,105.56,105.56,105.56,105.56,0
1980-12-13,KOSPI,105.31,105.31,105.31,105.31,0
1980-12-15,KOSPI,105.24,105.24,105.24,105.24,0
1980-12-16,KOSPI,104.88,104.88,104.88,104.88,0
1980-12-17,KOSPI,104.6,104.6,104.6,104.6,0
1980-12-18,KOSPI,105.21,105.21,105.21,105.21,0
1980-12-19,KOSPI,105.87,105.87,105.87,105.87,0
1980-12-20,KOSPI,106.11,106.11,106.11,106.11,0
1980-12-22,KOSPI,105.72,105.72,105.72,105.72,0
1980-12-23,KOSPI,105.99,105.99,105.99,105.99,0
1980-12-24,KOSPI,106.87,106.87,106.87,106.87,0
1981-01-05,KOSPI,97.9,97.9,97.9,97.9,0
1981-01-06,KOSPI,93.1,93.1,93.1,93.1,0
1981-01-07,KOSPI,93.1,93.1,93.1,93.1,0
1981-01-08,KOSPI,96.0,96.0,96.0,96.0,0
1981-01-09,KOSPI,96.6,96.6,96.6,96.6,0
1981-01-10,KOSPI,97.6,97.6,97.6,97.6,0
1981-01-12,KOSPI,99.5,99.5,99.5,99.5,0
1981-01-13,KOSPI,102.5,102.5,102.5,102.5,0
1981-01-14,KOSPI,107.4,107.4,107.4,107.4,0
1981-01-15,KOSPI,108.3,108.3,108.3,108.3,0
1981-01-16,KOSPI,107.8,107.8,107.8,107.8,0
1981-01-17,KOSPI,106.7,106.7,106.7,106.7,0
1981-01-19,KOSPI,106.6,106.6,106.6,106.6,0
1981-01-20,KOSPI,104.9,104.9,104.9,104.9,0
1981-01-21,KOSPI,105.7,105.7,105.7,105.7,0
1981-01-22,KOSPI,105.8,105.8,105.8,105.8,0
1981-01-23,KOSPI,106.3,106.3,106.3,106.3,0
1981-01-24,KOSPI,106.8,106.8,106.8,106.8,0
1981-01-26,KOSPI,106.2,106.2,106.2,106.2,0
1981-01-27,KOSPI,104.7,104.7,104.7,104.7,0
1981-01-28,KOSPI,104.2,104.2,104.2,104.2,0
1981-01-29,KOSPI,105.2,105.2,105.2,105.2,0
1981-01-30,KOSPI,105.3,105.3,105.3,105.3,0
1981-01-31,KOSPI,105.7,105.7,105.7,105.7,0
1981-02-02,KOSPI,105.6,105.6,105.6,105.6,0
1981-02-03,KOSPI,104.9,104.9,104.9,104.9,0
1981-02-04,KOSPI,105.5,105.5,105.5,105.5,0
1981-02-05,KOSPI,105.8,105.8,105.8,105.8,0
1981-02-06,KOSPI,106.0,106.0,106.0,106.0,0
1981-02-07,KOSPI,106.0,106.0,106.0,106.0,0
1981-02-09,KOSPI,105.3,105.3,105.3,105.3,0
1981-02-10,KOSPI,104.8,104.8,104.8,104.8,0
1981-02-12,KOSPI,104.4,104.4,104.4,104.4,0
1981-02-13,KOSPI,104.4,104.4,104.4,104.4,0
1981-02-14,KOSPI,104.7,104.7,104.7,104.7,0
1981-02-16,KOSPI,103.7,103.7,103.7,103.7,0
1981-02-17,KOSPI,103.7,103.7,103.7,103.7,0
1981-02-18,KOSPI,103.2,103.2,103.2,103.2,0
1981-02-19,KOSPI,102.7,102.7,102.7,102.7,0
1981-02-20,KOSPI,103.2,103.2,103.2,103.2,0
1981-02-21,KOSPI,103.8,103.8,103.8,103.8,0
1981-02-23,KOSPI,103.2,103.2,103.2,103.2,0
1981-02-24,KOSPI,103.5,103.5,103.5,103.5,0
1981-02-25,KOSPI,104.0,104.0,104.0,104.0,0
1981-02-26,KOSPI,103.9,103.9,103.9,103.9,0
1981-02-27,KOSPI,103.7,103.7,103.7,103.7,0
1981-02-28,KOSPI,104.1,104.1,104.1,104.1,0
1981-03-02,KOSPI,104.2,104.2,104.2,104.2,0
1981-03-04,KOSPI,103.3,103.3,103.3,103.3,0
1981-03-05,KOSPI,103.3,103.3,103.3,103.3,0
1981-03-06,KOSPI,103.0,103.0,103.0,103.0,0
1981-03-07,KOSPI,103.1,103.1,103.1,103.1,0
1981-03-09,KOSPI,103.3,103.3,103.3,103.3,0
1981-03-11,KOSPI,103.6,103.6,103.6,103.6,0
1981-03-12,KOSPI,103.9,103.9,103.9,103.9,0
1981-03-13,KOSPI,104.1,104.1,104.1,104.1,0
1981-03-14,KOSPI,104.7,104.7,104.7,104.7,0
1981-03-16,KOSPI,105.7,105.7,105.7,105.7,0
1981-03-17,KOSPI,105.6,105.6,105.6,105.6,0
1981-03-18,KOSPI,105.9,105.9,105.9,105.9,0
1981-03-19,KOSPI,105.6,105.6,105.6,105.6,0
1981-03-20,KOSPI,105.9,105.9,105.9,105.9,0
1981-03-21,KOSPI,106.0,106.0,106.0,106.0,0
1981-03-23,KOSPI,105.4,105.4,105.4,105.4,0
1981-03-24,KOSPI,105.2,105.2,105.2,105.2,0
1981-03-26,KOSPI,105.3,105.3,105.3,105.3,0
1981-03-27,KOSPI,105.7,105.7,105.7,105.7,0
1981-03-28,KOSPI,106.6,106.6,106.6,106.6,0
1981-03-30,KOSPI,106.3,106.3,106.3,106.3,0
1981-03-31,KOSPI,107.4,107.4,107.4,107.4,0
1981-04-01,KOSPI,107.6,107.6,107.6,107.6,0
1981-04-02,KOSPI,109.2,109.2,109.2,109.2,0
1981-04-03,KOSPI,109.7,109.7,109.7,109.7,0
1981-04-04,KOSPI,110.5,110.5,110.5,110.5,0
1981-04-06,KOSPI,110.3,110.3,110.3,110.3,0
1981-04-07,KOSPI,109.6,109.6,109.6,109.6,0
1981-04-08,KOSPI,111.0,111.0,111.0,111.0,0
1981-04-09,KOSPI,110.8,110.8,110.8,110.8,0
1981-04-10,KOSPI,112.0,112.0,112.0,112.0,0
1981-04-11,KOSPI,111.8,111.8,111.8,111.8,0
1981-04-13,KOSPI,111.5,111.5,111.5,111.5,0
1981-04-14,KOSPI,110.9,110.9,110.9,110.9,0
1981-04-15,KOSPI,111.0,111.0,111.0,111.0,0
1981-04-16,KOSPI,110.7,110.7,110.7,110.7,0
1981-04-17,KOSPI,111.0,111.0,111.0,111.0,0
1981-04-18,KOSPI,111.8,111.8,111.8,111.8,0
1981-04-20,KOSPI,111.3,111.3,111.3,111.3,0
1981-04-21,KOSPI,111.2,111.2,111.2,111.2,0
1981-04-22,KOSPI,111.6,111.6,111.6,111.6,0
1981-04-23,KOSPI,112.7,112.7,112.7,112.7,0
1981-04-24,KOSPI,113.3,113.3,113.3,113.3,0
1981-04-25,KOSPI,113.5,113.5,113.5,113.5,0
1981-04-27,KOSPI,116.1,116.1,116.1,116.1,0
1981-04-28,KOSPI,116.9,116.9,116.9,116.9,0
1981-04-29,KOSPI,120.2,120.2,120.2,120.2,0
1981-04-30,KOSPI,122.4,122.4,122.4,122.4,0
1981-05-01,KOSPI,123.6,123.6,123.6,123.6,0
1981-05-02,KOSPI,123.5,123.5,123.5,123.5,0
1981-05-04,KOSPI,120.6,120.6,120.6,120.6,0
1981-05-06,KOSPI,120.7,120.7,120.7,120.7,0
1981-05-07,KOSPI,119.3,119.3,119.3,119.3,0
1981-05-08,KOSPI,118.7,118.7,118.7,118.7,0
1981-05-09,KOSPI,118.8,118.8,118.8,118.8,0
1981-05-12,KOSPI,118.8,118.8,118.8,118.8,0
1981-05-13,KOSPI,119.9,119.9,119.9,119.9,0
1981-05-14,KOSPI,121.5,121.5,121.5,121.5,0
1981-05-15,KOSPI,121.4,121.4,121.4,121.4,0
1981-05-16,KOSPI,121.5,121.5,121.5,121.5,0
1981-05-18,KOSPI,121.1,121.1,121.1,121.1,0
1981-05-19,KOSPI,120.9,120.9,120.9,120.9,0
1981-05-20,KOSPI,121.4,121.4,121.4,121.4,0
1981-05-21,KOSPI,121.4,121.4,121.4,121.4,0
1981-05-22,KOSPI,120.8,120.8,120.8,120.8,0
1981-05-23,KOSPI,120.5,120.5,120.5,120.5,0
1981-05-25,KOSPI,121.5,121.5,121.5,121.5,0
1981-05-26,KOSPI,123.0,123.0,123.0,123.0,0
1981-05-27,KOSPI,124.8,124.8,124.8,124.8,0
1981-05-28,KOSPI,125.9,125.9,125.9,125.9,0
1981-05-29,KOSPI,126.5,126.5,126.5,126.5,0
1981-05-30,KOSPI,126.3,126.3,126.3,126.3,0
1981-06-01,KOSPI,126.4,126.4,126.4,126.4,0
1981-06-02,KOSPI,127.7,127.7,127.7,127.7,0
1981-06-03,KOSPI,129.8,129.8,129.8,129.8,0
1981-06-04,KOSPI,128.7,128.7,128.7,128.7,0
1981-06-05,KOSPI,128.3,128.3,128.3,128.3,0
1981-06-08,KOSPI,130.1,130.1,130.1,130.1,0
1981-06-09,KOSPI,132.7,132.7,132.7,132.7,0
1981-06-10,KOSPI,133.6,133.6,133.6,133.6,0
1981-06-11,KOSPI,134.7,134.7,134.7,134.7,0
1981-06-12,KOSPI,136.3,136.3,136.3,136.3,0
1981-06-13,KOSPI,137.6,137.6,137.6,137.6,0
1981-06-15,KOSPI,139.5,139.5,139.5,139.5,0
1981-06-16,KOSPI,142.8,142.8,142.8,142.8,0
1981-06-17,KOSPI,139.5,139.5,139.5,139.5,0
1981-06-18,KOSPI,134.8,134.8,134.8,134.8,0
1981-06-19,KOSPI,138.6,138.6,138.6,138.6,0
1981-06-20,KOSPI,139.8,139.8,139.8,139.8,0
1981-06-22,KOSPI,138.8,138.8,138.8,138.8,0
1981-06-23,KOSPI,139.2,139.2,139.2,139.2,0
1981-06-24,KOSPI,141.6,141.6,141.6,141.6,0
1981-06-25,KOSPI,141.8,141.8,141.8,141.8,0
1981-06-26,KOSPI,142.7,142.7,142.7,142.7,0
1981-06-27,KOSPI,144.5,144.5,144.5,144.5,0
1981-06-29,KOSPI,147.3,147.3,147.3,147.3,0
1981-06-30,KOSPI,150.8,150.8,150.8,150.8,0
1981-07-01,KOSPI,156.4,156.4,156.4,156.4,0
1981-07-02,KOSPI,155.0,155.0,155.0,155.0,0
1981-07-03,KOSPI,155.7,155.7,155.7,155.7,0
1981-07-04,KOSPI,157.8,157.8,157.8,157.8,0
1981-07-06,KOSPI,160.9,160.9,160.9,160.9,0
1981-07-07,KOSPI,165.9,165.9,165.9,165.9,0
1981-07-08,KOSPI,163.1,163.1,163.1,163.1,0
